Nome,Descrição,Data Inicio,Data Fim,Imagem ,Tipo,Tokens
Early Bird,Compra do bilhete Early Bird,2020-02-23,2020-02-24,badges/outros/early-bird.png,8,1
Rei dos Coffee Breaks,Encontrar o badge algures nos coffee breaks,2020-02-23,2020-02-27,badges/outros/coffeebreak.png,8,1
Inquisitor (level 1),Fazer uma pergunta no final de uma talk,2020-02-24,2020-02-27,badges/outros/int1.png,8,1
Inquisitor (level 2),Fazer uma pergunta no final de uma talk(pela segunda vez),2020-02-24,2020-02-27,badges/outros/int2.png,8,1
Inquisitor (level 3),Fazer uma pergunta no final de uma talk(pela terceira vez),2020-02-24,2020-02-27,badges/outros/int3.png,8,1
ENEI Lover,Like em 3 das 4 Redes Socias do ENEI,2020-02-23,2020-02-27,badges/outros/eneilover.png,8,1
100% participação,Participar a tempo inteiro,2020-02-23,2020-02-27,badges/outros/100.png,8,1
Foto na tela do ENEI,Partilhar uma fotografia na tela do ENEI nas redes sociais,2020-02-23,2020-02-27,badges/outros/tela.png,8,1
PR master,Submeter Pull request,2020-02-23,2020-02-27,badges/outros/pr.png,8,1
Contributor,Pull request aprovado,2020-02-23,2020-02-27,badges/outros/praprovado.png,8,1
Stalker,Like em todos os posts do ENEI numa rede social,2020-02-23,2020-02-27,badges/outros/redes.png,8,1
Treasure Hunter1,Encontrar o badge escondido,2020-02-23,2020-02-27,badges/outros/treasureHunter1.png,8,1
Treasure Hunter2,Encontrar o badge escondido,2020-02-23,2020-02-27,badges/outros/treasureHunter2.png,8,1
Treasure Hunter3,Encontrar o badge escondido,2020-02-23,2020-02-27,badges/outros/treasureHunter3.png,8,1
Aquece o banco,Chegar 10 minutos mais cedo à primeira talk do dia,2020-02-24,2020-02-27,badges/outros/aquece.png,8,1
Show off,Usar uma peça de roupa do teu curso/universidade,2020-02-23,2020-02-27,badges/outros/showoff.png,8,1
