Nome;Descrição;Data Inicio;Data Fim;Imagem;Tipo
Admin;I am the sys admin;2019-02-04;2019-02-09;images/hidensecretos/hiden/admin.png;0
Discord;Not IRC;2019-02-04;2019-02-09;images/hidensecretos/hiden/discord.png;0
Kyogre;Under the sea;2019-02-04;2019-02-09;images/hidensecretos/hiden/kyogre.png;0
Nemum;Vais-te afogar;2019-02-04;2019-02-09;images/hidensecretos/hiden/nemum.png;0
Porquixona;Oink oink;2019-02-04;2019-02-09;images/hidensecretos/hiden/porquixona.png;0
Visita ao Cesium;Capture the base;2019-02-04;2019-02-09;images/hidensecretos/secretos/cesium.png;1
F*ck Windows;DELETE SYSTEM32;2019-02-04;2019-02-09;images/hidensecretos/secretos/fwindows.png;1
Moonstone;React never again;2019-02-04;2019-02-09;images/hidensecretos/secretos/moonstone.png;1
Neovim;:wq;2019-02-04;2019-02-09;images/hidensecretos/secretos/neovim.png;1
Safira;Mais tipos, menos 500;2019-02-04;2019-02-09;images/hidensecretos/secretos/safira.png;1
Saint Ignucious;VIolence starts with vi;2019-02-04;2019-02-09;images/hidensecretos/secretos/saintignucious.png;1
TRIGGER;Oh men, tu o que?;2019-02-04;2019-02-09;images/hidensecretos/secretos/trigger.png;1
