Nome;Descrição;Data Inicio;Data Fim;Imagem;
Podcast;Podcast de Job van der Voort;2019-02-04;2019-02-05;images/talks/Segunda/podcast.png;
Sessão de Abertura;Estiveste presente na sessão de abertura;2019-02-04;2019-02-05;images/talks/Segunda/sessao.png;
Talk  Accenture;Estiveste presente na talk da accenture;2019-02-04;2019-02-05;images/talks/Segunda/talkaccenture.png;
Talk Blip;Estiveste presente na talk da blip;2019-02-04;2019-02-05;images/talks/Segunda/talkblip.png;
Talk David Amador;Estiveste presente na talk do David Amador;2019-02-04;2019-02-05;images/talks/terça/davidamador.png;
Talk André Pimenta;Estiveste presente na talk do André Pimenta;2019-02-05;2019-02-06;images/talks/terça/talkandrepimenta.png;
Talk Celso Martinho;Estiveste presente na talk do Celso Martinho;2019-02-05;2019-02-06;images/talks/terça/davidamador.png;
Workshop Accenture;Estiveste presente no workshop da Accenture;2019-02-05;2019-02-06;images/talks/terça/accenture.png;
Workshop Outsystems;Estiveste presente no workshop da Outsystems;2019-02-05;2019-02-06;images/talks/terça/outsystems.png;
Workshop Pixelmatters;Estiveste presente no workshop da Pixelmatters;2019-02-05;2019-02-06;images/talks/terça/workshoppixelmatters.png;
Workshop XpanIt;Estiveste presente no workshop da Xpandit;2019-02-05;2019-02-06;images/talks/terça/workshopxpandit.png;
Tertúlia;Estiveste na tertúlia;2019-02-05;2019-02-06;images/talks/terça/tertulia.png;
Talk Daniel Ferrari;Estiveste presente na talk de Daniel Ferrari;2019-02-06;2019-02-07;images/talks/quarta/talkdanielferrari.png;
Talk Jorge Resende;Estiveste presente na talk de Jorge Resende;2019-02-06;2019-02-07;images/talks/quarta/talkjorgeresende.png;
Talk Raul Azevedo;Estiveste presente na talk de Raul Azevedo;2019-02-06;2019-02-07;images/talks/quarta/talkraulazevedo.png;
Tertulia;Estiveste na tertúlia;2019-02-06;2019-02-07;images/talks/quarta/tertulia.png;
Workshop de React;Estiveste presente no workshop de React;2019-02-06;2019-02-07;images/talks/quarta/workshopreact.png;
Workshop da WeDo;Estiveste presente no workshop da WeDo;2019-02-06;2019-02-07;images/talks/quarta/workshopwedo.png;
Talk de André Barbosa;Estiveste presente na talk de André Barbosa;2019-02-07;2019-02-08;images/talks/quinta/talkandrebarbosa.png;
Talk de Bruno Ribeiro;Estiveste presente na talk de Bruno Ribeiro;2019-02-07;2019-02-08;images/talks/quinta/talkbrunoribeiro.png;
Talk de José Carreiras;Estiveste presente na talk de José Carreiras;2019-02-07;2019-02-08;images/talks/quinta/talkjosécarreiras.png;
Tertúlia;Estiveste na tertúlia;2019-02-07;2019-02-08;images/talks/quinta/tertulia.png;
Workshop da Aptiv;Estiveste presente no workshop da Aptiv;2019-02-07;2019-02-08;images/talks/quinta/workshopaptiv.png;
Workshop da Smith Micro;Estiveste presente no workshop da SmithMicro;2019-02-07;2019-02-08;images/talks/quinta/workshopsmithmicro.png;
Workshop da Eurotux;Estiveste presente no workshop da Eurotux;2019-02-08;2019-02-09;images/talks/sexta/eurotux.png;
Workshop da Farefetch;Estiveste presente no workshop da Farefetch;2019-02-08;2019-02-09;images/talks/sexta/farefetch.png;
Talk da Farefetch;Estiveste presente na talk da Farefetch;2019-02-08;2019-02-09;images/talks/sexta/talkfarefetch.png;
Talk da Primavera;Estiveste presente na talk da Primavera;2019-02-08;2019-02-09;images/talks/sexta/talkprimavera.png;
Sessão de Encerramento;Estiveste presente na sessão de encerramento;2019-02-08;2019-02-09;images/talks/sexta/sessaoenc.png;
